source_url,source_path,title,content_type,relevance,recommended_action,canonical_target,implementation,content_blocks,downloads,external_links,migration_status
https://www.prexion.com/,/,Home,institutional,high,create,/,dedicated legacy route,14,1,14,ready-for-implementation
https://www.prexion.com/aae-annual-meteting-2026-salt-lake-city-ut/,/aae-annual-meteting-2026-salt-lake-city-ut,AAE Annual Meteting 2026 – Salt Lake City – UT,article,low,redirect,/aae-annual-meteting-2026-salt-lake-city-ut,dedicated legacy route,4,0,6,ready-for-implementation
https://www.prexion.com/accessibility-statement/,/accessibility-statement,Accessibility Statement,legal,medium,create,/accessibility-statement,dedicated legacy route,10,0,8,ready-for-implementation
https://www.prexion.com/aeedc-dubai-event/,/aeedc-dubai-event,AEEDC Dubai 2026,event,medium,consolidate,/aeedc-dubai-event,dedicated legacy route,2,0,6,ready-for-implementation
https://www.prexion.com/all-reps-subscribe/,/all-reps-subscribe,All Reps Subscribe Page (LP),landing-page,medium,consolidate,/all-reps-subscribe,dedicated legacy route,13,0,4,ready-for-implementation
https://www.prexion.com/applications-by-specialty/,/applications-by-specialty,Applications By Specialty,product,high,create,/product,canonical modern page + preserved legacy route,43,0,4,ready-for-implementation
https://www.prexion.com/apply-job/,/apply-job,Apply for this Job,landing-page,medium,consolidate,/careers/apply,modern grouped page + preserved legacy route,6,0,4,ready-for-implementation
https://www.prexion.com/careers-at-prexion/,/careers-at-prexion,Careers at PreXion,institutional,high,create,/careers,modern grouped page + preserved legacy route,52,0,5,ready-for-implementation
https://www.prexion.com/catapult/,/catapult,Catapult (LP),landing-page,medium,redirect,/catapult,dedicated legacy route,46,2,7,ready-for-implementation
https://www.prexion.com/category/blog/,/category/blog,Blog,article,medium,redirect,/news,modern grouped page + preserved legacy route,7,0,4,ready-for-implementation
https://www.prexion.com/cbct-scanner-options/,/cbct-scanner-options,Combo (LP),product,high,consolidate,/product,canonical modern page + preserved legacy route,46,0,4,ready-for-implementation
https://www.prexion.com/chicago-mindwinter-dental/,/chicago-mindwinter-dental,Chicago Mindwinter,event,medium,consolidate,/chicago-mindwinter-dental,dedicated legacy route,1,0,6,ready-for-implementation
https://www.prexion.com/contact/,/contact,Contact Us,institutional,high,create,/contact,dedicated legacy route,11,0,4,ready-for-implementation
https://www.prexion.com/discover-the-evolve-2d-pan/,/discover-the-evolve-2d-pan,Evolve 2D (PAN) (LP),landing-page,high,redirect,/product/evolve-2d,canonical modern page + preserved legacy route,21,0,4,ready-for-implementation
https://www.prexion.com/discover-the-expedition-cbct-scanner/,/discover-the-expedition-cbct-scanner,Expedition CBCT Scanner (LP),product,high,create,/product,canonical modern page + preserved legacy route,39,0,4,ready-for-implementation
https://www.prexion.com/discover-the-explorer-ex-cbct-scanner/,/discover-the-explorer-ex-cbct-scanner,Explorer EX CBCT Scanner (LP),landing-page,high,consolidate,/discover-the-explorer-ex-cbct-scanner,dedicated legacy route,18,2,4,ready-for-implementation
https://www.prexion.com/discover-the-prexion-3d-intraoral-sensor/,/discover-the-prexion-3d-intraoral-sensor,Prexion 3D Intraoral Sensor (LP),landing-page,high,create,/product/evolve-sensor,canonical modern page + preserved legacy route,42,0,5,ready-for-implementation
https://www.prexion.com/distributor-locations/,/distributor-locations,Distributor Locations,sales,medium,consolidate,/distributors,modern grouped page + preserved legacy route,7,0,4,ready-for-implementation
https://www.prexion.com/download-be-more-profitable-more-quickly/,/download-be-more-profitable-more-quickly,Download – Be More Profitable More Quickly,landing-page,medium,consolidate,/download-be-more-profitable-more-quickly,dedicated legacy route,12,0,5,ready-for-implementation
https://www.prexion.com/download-dental-professionals-insights-on-precision-imaging-excellence/,/download-dental-professionals-insights-on-precision-imaging-excellence,Download – Dental Professionals’ Insights on Precision Imaging Excellence,landing-page,medium,redirect,/download-dental-professionals-insights-on-precision-imaging-excellence,dedicated legacy route,13,0,4,ready-for-implementation
https://www.prexion.com/download-ebook-library/,/download-ebook-library,Download eBook Library (LP),resource,medium,consolidate,/resources,modern grouped page + preserved legacy route,32,0,4,ready-for-implementation
https://www.prexion.com/download-how-your-peers-earn-roi-from-3d-cbct-scan-imaging-technology/,/download-how-your-peers-earn-roi-from-3d-cbct-scan-imaging-technology,Download – How Your Peers Earn ROI from 3D CBCT Scan Imaging Technology,landing-page,high,create,/download-how-your-peers-earn-roi-from-3d-cbct-scan-imaging-technology,dedicated legacy route,19,0,4,ready-for-implementation
https://www.prexion.com/download-mitigating-practice-liability-exposure-with-precision-treatment-planning-and-diagnoses/,/download-mitigating-practice-liability-exposure-with-precision-treatment-planning-and-diagnoses,Download – Mitigating Practice Liability Exposure with Precision Treatment Planning and Diagnoses,landing-page,medium,consolidate,/download-mitigating-practice-liability-exposure-with-precision-treatment-planning-and-diagnoses,dedicated legacy route,18,0,4,ready-for-implementation
