Subject,Rota,Carregou,Título Visível,Conteúdo Preservado,Mídia Quebrada,Problema,Error
/,/,true,PreXion — Advanced Dental Imaging,true,,Nenhum,
/aae-annual-meteting-2026-salt-lake-city-ut,/aae-annual-meteting-2026-salt-lake-city-ut,true,AAE Annual Meteting 2026 – Salt Lake City – UT,true,,Nenhum,
/accessibility-statement,/accessibility-statement,true,Accessibility Statement,true,,Nenhum,
/aeedc-dubai-event,/aeedc-dubai-event,true,AEEDC Dubai 2026,true,,Nenhum,
/all-reps-subscribe,/all-reps-subscribe,true,PreXion — Advanced Dental Imaging,,,Página em branco,
/applications-by-specialty,/applications-by-specialty,,PreXion — Advanced Dental Imaging,,,Erro de carregamento: a página não renderizou nenhum conteúdo (apenas tela em branco e Too many requests anteriormente).,
/apply-job,/apply-job,true,Apply for this Job,true,,Nenhum,
/careers-at-prexion,/careers-at-prexion,true,Careers at PreXion,true,,Nenhum,
/catapult,/catapult,true,Catapult (LP),true,,Nenhum,
/category/blog,/category/blog,true,Blog,true,,Nenhum,
/cbct-scanner-options,/cbct-scanner-options,true,Combo (LP),true,,Exibe raw markdown no header,
/chicago-mindwinter-dental,/chicago-mindwinter-dental,true,Chicago Mindwinter,true,,Nenhum,
/contact,/contact,true,Bring diagnostic clarity into your practice.,true,,Nenhum,
/discover-the-evolve-2d-pan,/discover-the-evolve-2d-pan,true,PreXion — Advanced Dental Imaging,,,"Página em branco, sem conteúdo visível.",
/discover-the-expedition-cbct-scanner,/discover-the-expedition-cbct-scanner,,Too many requests. Please try again later.,,,Erro 429 Too Many Requests,
/discover-the-explorer-ex-cbct-scanner,/discover-the-explorer-ex-cbct-scanner,true,Explorer EX CBCT Scanner (LP),true,,Nenhum,
/discover-the-prexion-3d-intraoral-sensor,/discover-the-prexion-3d-intraoral-sensor,true,PreXion — Advanced Dental Imaging,,,Página em branco (apenas React root div sem conteúdo renderizado),
/distributor-locations,/distributor-locations,,,,,Too many requests. Please try again later.,
/download-be-more-profitable-more-quickly,/download-be-more-profitable-more-quickly,true,Download – Be More Profitable More Quickly,true,,Nenhum,
/download-dental-professionals-insights-on-precision-imaging-excellence,/download-dental-professionals-insights-on-precision-imaging-excellence,,,,,Too many requests,
/download-ebook-library,/download-ebook-library,,Too many requests. Please try again later.,,,Erro 429 Too Many Requests,
/download-how-your-peers-earn-roi-from-3d-cbct-scan-imaging-technology,/download-how-your-peers-earn-roi-from-3d-cbct-scan-imaging-technology,true,Download – How Your Peers Earn ROI from 3D CBCT Scan Imaging Technology,true,,Nenhum,
/download-mitigating-practice-liability-exposure-with-precision-treatment-planning-and-diagnoses,/download-mitigating-practice-liability-exposure-with-precision-treatment-planning-and-diagnoses,true,Download – Mitigating Practice Liability Exposure with Precision Treatment Planning and Diagnoses,true,,Nenhum,
/download-overcoming-rising-costs-and-economic-challenges-in-dentistry,/download-overcoming-rising-costs-and-economic-challenges-in-dentistry,true,PreXion — Advanced Dental Imaging,,,Página em branco (apenas barra de preview),
/downloadable-assets,/downloadable-assets,true,Downloadable Assets,true,,Nenhum,
/education-and-support,/education-and-support,true,Education & Support,true,,Nenhum,
/evolve-2d-pan,/evolve-2d-pan,true,PreXion — Advanced Dental Imaging,,,"Página em branco, sem conteúdo visível.",
/evolve-scan-intraoral-scanner,/evolve-scan-intraoral-scanner,true,Evolve Scan,true,,Nenhum,
/evolve-x-ray-hand-held-dental-x-rays,/evolve-x-ray-hand-held-dental-x-rays,true,Evolve X-Ray: Hand Held Dental X-Rays,true,,Conteúdo duplicado e menção a Eagle X-ray em vez de Evolve X-Ray. Footer duplicado.,
/explorer-ex-cbct-scanner-complimentary-demo,/explorer-ex-cbct-scanner-complimentary-demo,true,PreXion — Advanced Dental Imaging,,,Página em branco (React renderizou apenas tela vazia com banner de preview),
/explorer-ex-cbct-scanner-free-download,/explorer-ex-cbct-scanner-free-download,true,Explorer EX CBCT Scanner – Download Brochure (LP),true,,Nenhum,
/explorer-pro-2,/explorer-pro-2,,Nenhum,,,Erro 429: Too many requests,
/imaging-products,/imaging-products,,Nenhum,,,Erro 429 Too Many Requests,
/leading-imaging-solutions,/leading-imaging-solutions,,,,,Erro de Too many requests,
/news-2,/news-2,,Nenhum,,,Erro de limite de requisições (Too many requests),
/prexion-3d-evolve,/prexion-3d-evolve,true,PreXion 3D Evolve (SFOV),true,,Duplicação de texto no conteúdo,
/prexion-3d-excelsior-cbct-scanner,/prexion-3d-excelsior-cbct-scanner,true,Excelsior CBCT Scanner,true,,Nenhum,
/prexion-3d-excelsior,/prexion-3d-excelsior,true,Nenhum,,,Erro: Too many requests. Please try again later.,
/prexion-3d-expedition,/prexion-3d-expedition,true,PreXion — Advanced Dental Imaging,,,"Página em branco, carrega apenas a shell do React sem renderizar conteúdo nem erro 404.",
/prexion-3d-explorer-ex,/prexion-3d-explorer-ex,true,PreXion — Advanced Dental Imaging,true,,Nenhum,
/prexion-3d-explorer-pro,/prexion-3d-explorer-pro,true,PreXion — Advanced Dental Imaging,,,"A página carregou em branco, sem conteúdo visível no corpo, apenas com a tag title preenchida.",
/prexion-3d-intraoral-sensor,/prexion-3d-intraoral-sensor,true,PreXion — Advanced Dental Imaging,,,"Página em branco, ausência de conteúdo",
/prexion-care,/prexion-care,true,Prexion Care,true,,Nenhum,
/prexion-excelsior-endo,/prexion-excelsior-endo,true,PreXion — Advanced Dental Imaging,true,,Nenhum,
/prexion-excelsior-max-lfov,/prexion-excelsior-max-lfov,,,,,Too many requests,
/prexion-excelsior-mid,/prexion-excelsior-mid,true,Too many requests. Please try again later.,,,"A página carregou, mas exibe mensagem de erro 'Too many requests. Please try again later.' em vez do conteúdo esperado.",
/privacy-policy,/privacy-policy,true,Privacy Policy,true,,Nenhum,
/product-specialists,/product-specialists,true,Find a Product Specialist,true,,Nenhum,
/remote-support,/remote-support,true,PreXion — Advanced Dental Imaging,,,"Página em branco, sem conteúdo substantivo.",
/request-a-demo,/request-a-demo,,,,,Erro de limite de requisições (Too many requests),
/roi-calculator,/roi-calculator,,Too many requests,,,Erro 429: Too many requests (PROXY_RATE_LIMITED),
/sales-info,/sales-info,true,PreXion — Advanced Dental Imaging,,,"Página em branco, sem conteúdo substantivo ou encaminhamento.",
/sample-page,/sample-page,true,,,,Too many requests,
/saudi-international-dental-conference,/saudi-international-dental-conference,true,Saudi International Dental Conference (SIDC),true,,Nenhum,
/subscription-success,/subscription-success,true,Subscription Success,true,,Nenhum,
/success-be-more-profitable-more-quickly,/success-be-more-profitable-more-quickly,true,PreXion — Advanced Dental Imaging,,,"Página quase vazia, apenas texto genérico do site, sem conteúdo específico da rota",
/success-dental-professionals-insights-on-precision-imaging-excellence,/success-dental-professionals-insights-on-precision-imaging-excellence,,Nenhum,,,Erro de limite de taxa (Too many requests),
/success-explorer-ex-cbct-scanner-free-download,/success-explorer-ex-cbct-scanner-free-download,true,PreXion — Advanced Dental Imaging,,,"Página em branco, sem conteúdo renderizado.",
/success-how-your-peers-earn-roi-from-3d-cbct-scan-imaging-technology,/success-how-your-peers-earn-roi-from-3d-cbct-scan-imaging-technology,true,Success – How Your Peers Earn ROI from 3D CBCT Scan Imaging Technology,true,,Nenhum,
/success-mitigating-practice-liability-exposure-with-precision-treatment-planning-and-diagnoses,/success-mitigating-practice-liability-exposure-with-precision-treatment-planning-and-diagnoses,true,PreXion — Advanced Dental Imaging,true,,Nenhum,
/success-overcoming-rising-costs-and-economic-challenges-in-dentistry,/success-overcoming-rising-costs-and-economic-challenges-in-dentistry,true,PreXion — Advanced Dental Imaging,true,,Nenhum,
/thank-you-for-your-interest-in-prexion-3d-cbct,/thank-you-for-your-interest-in-prexion-3d-cbct,true,PreXion — Advanced Dental Imaging,,,"Página em branco, ausência de conteúdo visível",
/thank-you,/thank-you,true,PreXion — Advanced Dental Imaging,,,"Página em branco, sem conteúdo substantivo.",
/the-art-and-science-of-dentistry-2026-anaheim-ca,/the-art-and-science-of-dentistry-2026-anaheim-ca,true,,,,Too many requests,
/training-videos,/training-videos,true,Training Videos,true,,Nenhum,
/upcoming_events,/upcoming_events,true,Upcoming Events,true,,Nenhum,
/why-prexion,/why-prexion,true,Why Prexion?,true,,Nenhum,
