Subject,URL,Status HTTP,Título,Tipo de Conteúdo,Relevância Atual,Seções e Conteúdo,Chamadas para Ação,Links Internos,Links Externos,Downloads,Ativos de Mídia,Ação de Migração,Destino Canônico,Observações,Error
https://www.prexion.com/,https://www.prexion.com/,200,Home - PreXion,institutional,high,"### Dental Imaging Technology Moving You Forward\nCom a aquisição da PreXion pela Alliage em 2025, a marca passou a fazer parte de um dos maiores grupos globais em tecnologia de saúde odontológica. A fabricação ocorre no Brasil, unindo tecnologia brasileira e excelência industrial. A empresa foi fundada no Japão em 2007 (spin-off da TeraRecon) com foco em P&D de tecnologias avançadas para imagens médicas e odontológicas, desenvolvendo sistemas de Tomografia Computadorizada de Feixe Cônico (CBCT).\n\n### What Sets Us Apart?\n- **Top-Quality 3D Imaging:** Oferece imagens 3D claras e precisas com baixos níveis de radiação e preço acessível.\n- **Unmatched Commitment to Education:** Cursos práticos exclusivos ministrados por líderes de opinião e médicos especialistas, além de vídeos educativos online.\n- **Excellent Service:** Missão de responder a chamadas de suporte com paixão e oferecer excelente atendimento ao cliente.\n\n### DOWNLOAD OUR LATEST DATA-DRIVEN EBOOK\nGuia completo baseado em dados sobre como colegas obtêm ROI com a tecnologia de imagem de varredura 3D CBCT.\n\n### Our Partners\nLista de parceiros da indústria, incluindo Dental EMR, ADA, AIDA Group, Midwest Implant Institute, Catapult Education, Smile Source, Sleep Group Solutions, 3D Diagnostix, Radiodontics e CBCT Readers.\n\n### What is the Industry Saying?\nDepoimento do Dr. Richard Newhart, Periodontista, elogiando a escolha da unidade CBCT da PreXion pelas especificações, baixa radiação, imagens de ponta e treinamento fornecido.\n\n### Experience True Clarity & Precision\nChamada para agendar uma demonstração.\n\n### Footer / Contact Us\nInformações de contato (telefones e endereço) e links para explorar produtos e serviços (Evolve 3D Scanner, Excelsior ENDO Scanner, ROI Calculator, Remote Support, Product Specialists, Políticas).","- [Learn More About Us](https://www.prexion.com/why-prexion/)\n- [VIEW ALL EDUCATION & SUPPORT](https://www.prexion.com/education-and-support/)\n- [DOWNLOAD NOW](https://www.prexion.com/download-how-your-peers-earn-roi-from-3d-cbct-scan-imaging-technology/)\n- [REQUEST A DEMO](https://www.prexion.com/request-a-demo/)\n- Contact Us: 855-PREXION\n- Client Support: (650) 212-0314\n- Address: 2077 Gateway Place, Suite 120, San Jose, CA 95110",- https://www.prexion.com/author/3vdab/\n- https://www.prexion.com/why-prexion/\n- https://www.prexion.com/education-and-support/\n- https://www.prexion.com/prexion-excelsior-max-lfov/\n- https://www.prexion.com/download-how-your-peers-earn-roi-from-3d-cbct-scan-imaging-technology/\n- https://www.prexion.com/request-a-demo/\n- https://www.prexion.com/prexion-3d-evolve/\n- https://www.prexion.com/prexion-excelsior-endo/\n- https://www.prexion.com/roi-calculator/\n- https://www.prexion.com/remote-support/\n- https://www.prexion.com/product-specialists/\n- https://www.prexion.com/privacy-policy/\n- https://www.prexion.com/accessibility-statement/,- https://dentalemr.com/\n- https://www.ada.org/\n- https://aidagroup.org/education/\n- https://midwestimplantinstitute.com/\n- https://www.catapulteducation.com/\n- https://www.smilesource.com/\n- https://join.sleepgroupsolutions.com/\n- https://www.3ddx.com/\n- https://www.radiodontics.com/\n- https://cbctreaders.com/\n- https://www.linkedin.com/company/prexion-cbct/\n- https://www.facebook.com/PreXionUSA/\n- https://www.instagram.com/prexionusa/\n- https://www.youtube.com/prexioncbct,Nenhum,Nenhum,create,/,"A página apresenta conteúdo duplicado no HTML extraído (blocos \""Dental Imaging Technology Moving You Forward\"" e \""What Sets Us Apart?\""). Trata-se da homepage institucional principal da PreXion, contendo informações sobre a história da empresa, aquisição pela Alliage, diferenciais, depoimentos e links para produtos e suporte. Não há arquivos para download direto, apenas um link para uma landing page de e-book.",
https://www.prexion.com/aae-annual-meteting-2026-salt-lake-city-ut/,https://www.prexion.com/aae-annual-meteting-2026-salt-lake-city-ut/,200,AAE Annual Meteting 2026 – Salt Lake City – UT,article,low,"# AAE Annual Meteting 2026 – Salt Lake City – UT\nArtigo publicado em 23 de abril de 2026 relatando a participação da PreXion no AAE Annual Meeting 2026 (16 e 17 de abril, Salt Lake City). O evento reuniu profissionais de endodontia. A PreXion foi representada pelo distribuidor Luman Dental, destacando os produtos PreXion Excelsior Endo Scanner e PreXion Evolve 3D (SFOV).\n\n## Stay on the Cutting Edge of Dentistry\nChamada para assinatura de newsletter ou atualizações (Subscribe today).\n\n## Footer\nInformações de contato, telefones, endereço (San Jose, CA) e links de navegação para produtos e políticas.","- Subscribe today\n- Contact Us: tel:855PREXION\n- Client Support: tel:6502120314\n- Share This Story (Facebook, LinkedIn, Email)",- https://www.prexion.com/\n- https://www.prexion.com/prexion-3d-evolve/\n- https://www.prexion.com/prexion-excelsior-endo/\n- https://www.prexion.com/roi-calculator/\n- https://www.prexion.com/remote-support/\n- https://www.prexion.com/product-specialists/\n- https://www.prexion.com/privacy-policy/\n- https://www.prexion.com/accessibility-statement/,- https://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.prexion.com%2Faae-annual-meteting-2026-salt-lake-city-ut%2F\n- https://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.prexion.com%2Faae-annual-meteting-2026-salt-lake-city-ut%2F\n- mailto:?subject=AAE%20Annual%20Meteting%202026%20%26%238211%3B%20Salt%20Lake%20City%20%26%238211%3B%20UT&body=https%3A%2F%2Fwww.prexion.com%2Faae-annual-meteting-2026-salt-lake-city-ut%2F\n- https://www.linkedin.com/company/prexion-cbct/\n- https://www.facebook.com/PreXionUSA/\n- https://www.instagram.com/prexionusa/\n- https://www.youtube.com/prexioncbct,Nenhum,Nenhum,redirect,/news,"Artigo de notícia sobre evento pontual com erro de digitação no título da URL e da página (\""Meteting\""). Possui baixo valor perene. O ideal é redirecionar para uma página agregadora de notícias ou eventos. Elementos de rodapé aparentemente duplicados na extração.",
https://www.prexion.com/accessibility-statement/,https://www.prexion.com/accessibility-statement/,200,Accessibility Statement,legal,medium,"## Accessibility Statement\n\nPreXion Inc. seeks to improve the accessibility of our website content. Below are recommendations to help improve your experience on our website.\n\n### Helpful links:\n- Comprehensive Web Accessibility Initiative (WAI) tips\n- Social Security Administration tips\n- Speech recognition software\n\nShould you be deaf or hard of hearing, there are additional accessibility features available to you:\n- Closed captioning in YouTube\n- Volume controls: Your computer, tablet and mobile device all have volume control features, and the service you use to watch or listen to videos or audio clips also have volume controls. It is recommended to adjust both volume controls to optimize your experience.\n\nIf the recommendations above do not meet your needs, please contact us at (651) 212-0300 for assistance in accessing PreXion’s website content.","- Call us at [(651) 212-0300](tel:6512120300) for assistance\n- Contact Us: [855-PREXION](tel:855PREXION)\n- Client Support: [(650) 212-0314](tel:6502120314)\n- Address: 2077 Gateway Place, Suite 120, San Jose, CA 95110",- https://www.prexion.com\n- https://www.prexion.com/prexion-3d-evolve/\n- https://www.prexion.com/prexion-excelsior-endo/\n- https://www.prexion.com/roi-calculator/\n- https://www.prexion.com/remote-support/\n- https://www.prexion.com/product-specialists/\n- https://www.prexion.com/privacy-policy/\n- https://www.prexion.com/accessibility-statement/\n- https://www.prexion.com/,- https://www.w3.org/WAI/resources/\n- https://www.ssa.gov/accessibility/\n- http://www.nuance.com/dragon/index.htm\n- https://support.google.com/youtube/answer/100078?hl=en\n- https://www.linkedin.com/company/prexion-cbct/\n- https://www.facebook.com/PreXionUSA/\n- https://www.instagram.com/prexionusa/\n- https://www.youtube.com/prexioncbct,Nenhum,Nenhum,create,/accessibility-statement/,"Página legal padrão de declaração de acessibilidade. Conteúdo duplicado no rodapé (links de exploração e contato repetidos). Não possui imagens no conteúdo principal, apenas texto e links externos úteis para acessibilidade. Pode ser migrada criando uma página própria.",
https://www.prexion.com/aeedc-dubai-event/,https://www.prexion.com/aeedc-dubai-event/,200,AEEDC Dubai 2026,event,medium,"# AEEDC Dubai 2026\n\nThe article announces PreXion's participation in the AEEDC Dubai 2026 event held from January 19th to 21st. The event was an opportunity to present innovations and the complete portfolio of solutions in diagnostic imaging and dental equipment, including the launch of the Prexion brand for these markets.\n\n## Share This Story, Choose Your Platform!\n\nLinks to share the story on Facebook, LinkedIn, and Email.\n\n## Stay on the Cutting Edge of Dentistry.\n\n### Subscribe today.\n\nCall to action to subscribe for updates.\n\n## Contact Information and Footer\n\nContains contact numbers (855-PREXION, (650) 212-0314), address (2077 Gateway Place, Suite 120, San Jose, CA 95110), social media links, and internal navigation links (Evolve 3D Scanner, Excelsior ENDO Scanner, ROI Calculator, Remote Support, Product Specialists, Privacy Policy, Accessibility Statement). Note: The footer information appears duplicated in the extracted text.","- Subscribe today\n- Contact Us: [855-PREXION](tel:855PREXION)\n- Client Support: [(650) 212-0314](tel:6502120314)\n- Address: 2077 Gateway Place, Suite 120, San Jose, CA 95110",- https://www.prexion.com/\n- https://www.prexion.com/prexion-3d-evolve/\n- https://www.prexion.com/prexion-excelsior-endo/\n- https://www.prexion.com/roi-calculator/\n- https://www.prexion.com/remote-support/\n- https://www.prexion.com/product-specialists/\n- https://www.prexion.com/privacy-policy/\n- https://www.prexion.com/accessibility-statement/,- https://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.prexion.com%2Faeedc-dubai-event%2F&t=AEEDC%20Dubai%202026\n- https://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.prexion.com%2Faeedc-dubai-event%2F&title=AEEDC%20Dubai%202026&summary=In%20January%2C%20we%20participated%20in%20an%20important%20international%20event%20in%20the%20healthcare%20sector%2C%20reinforcing%20our%20global%20presence%20and%20our%20commitment%20to%20expansion%20in%20strategic%20markets.%20This%20meeting%20was%20held%20at%20the%20AEEDC%20DUBAI%202026%20from%20January%2019th%20to%2021st%2C%20and%20provided%20significant%20opportunities%20for%20networking%20with%20partners%20and%20distributors.During%20the%20trade%20show%2C%20we%20presented%20our\n- mailto:?subject=AEEDC%20Dubai%202026&body=https%3A%2F%2Fwww.prexion.com%2Faeedc-dubai-event%2F\n- https://www.linkedin.com/company/prexion-cbct/\n- https://www.facebook.com/PreXionUSA/\n- https://www.instagram.com/prexionusa/\n- https://www.youtube.com/prexioncbct,Nenhum,Nenhum,consolidate,/news/aeedc-dubai-2026,Página de evento noticiando a participação da PreXion na AEEDC Dubai 2026. O conteúdo é curto e tem caráter de notícia/press release. O rodapé está duplicado no conteúdo extraído. Recomendada a consolidação na seção de notícias ou blog.,
https://www.prexion.com/all-reps-subscribe/,https://www.prexion.com/all-reps-subscribe/,200,All Reps Subscribe Page (LP),landing-page,medium,"## Stay on the Cutting Edge of Dentistry.\nSubscribe today to gain access to our full library of data-driven eBooks and insights.\n\n### What Sets Us Apart?\n**Top-Quality 3D Imaging**\nDiagnostically, 3D imaging is a must-have in the clinical settings of today’s world. PreXion offers the clearest, most precise image in the industry at an incredible price point. The clarity of the image is unparalleled by competing solutions and the precision is unrivaled. Only PreXion offers high imaging with low radiation levels.\n\n**Unmatched Commitment to Education**\nPreXion has cultivated a tight-knit circle of key opinion leaders made up of specialty physicians that precisely understand the PreXion technology and resulting clinical outcomes ﬁrsthand. These doctors offer PreXion customers exclusive hands-on courses nationwide. Educational videos are also available online, making it easy for PreXion customers and their teams to continuously access the information they need.\n\n**Excellent Service**\nPreXion is deeply committed to listening to the customer’s voice. The PreXion mission is to always be passionate about answering support calls and delivering excellent customer care. It is PreXion’s vision to build trust across the industry by providing each customer the ideal treatment, precisely tending to each and every inquiry.\n\n### Discover what CBCT can make possible for your practice.\nFor many clinicians and practice owners, an investment in CBCT technology from PreXion can become profitable more quickly than anticipated. Use our ROI calculator tool to compare the net income from a PreXion investment to the net expenses required to finance a product.\n\n### What is the Industry Saying?\n“With the PreXion CBCT, I now have the ability to comprehensively diagnose, plan, and treat every patient with confidence and accuracy. This technology directly impacts everything from sinus lifts, implant placement, bone grafting, surgical extractions, and more. This is absolutely the most valuable diagnostic tool in my practice.” – DR. ROBERT WALINCHUS\n\n## Experience True Clarity & Precision\nSchedule a demo today.","- Subscribe today to gain access to our full library of data-driven eBooks and insights.\n- [VIEW ALL EDUCATION & SUPPORT](https://www.prexion.com/education-and-support/)\n- [CALCULATE YOUR SAVINGS](https://www.prexion.com/roi-calculator/)\n- [REQUEST A DEMO](https://www.prexion.com/request-a-demo/)\n- Contact Us: [855-PREXION](tel:855PREXION)\n- Client Support: [(650) 212-0314](tel:6502120314)\n- Address: 2077 Gateway Place, Suite 120, San Jose, CA 95110",- https://www.prexion.com/education-and-support/\n- https://www.prexion.com/roi-calculator/\n- https://www.prexion.com/request-a-demo/\n- https://www.prexion.com/prexion-3d-evolve/\n- https://www.prexion.com/prexion-excelsior-endo/\n- https://www.prexion.com/remote-support/\n- https://www.prexion.com/product-specialists/\n- https://www.prexion.com/privacy-policy/\n- https://www.prexion.com/accessibility-statement/\n- https://www.prexion.com/,- https://www.linkedin.com/company/prexion-cbct/\n- https://www.facebook.com/PreXionUSA/\n- https://www.instagram.com/prexionusa/\n- https://www.youtube.com/prexioncbct,Nenhum,Nenhum,consolidate,/subscribe/,Página de landing para assinatura de representantes com conteúdo repetitivo no rodapé e sem formulário visível no texto extraído. Pode ser consolidada em uma página genérica de assinatura ou recursos no novo site. O formulário provavelmente depende de script de terceiros não capturado na extração.,
https://www.prexion.com/applications-by-specialty/,https://www.prexion.com/applications-by-specialty/,200,Applications By Specialty,product,high,"# APPLICATIONS BY SPECIALTY\n\n## PreXion’s Versatility of Applications\nDestaca a versatilidade das aplicações dos modelos CBCT da PreXion, que oferecem qualidade de imagem superior para diversas especialidades odontológicas.\n\n### Endodontics\nA tecnologia captura imagens fatiadas que formam representações 3D claras da anatomia do paciente, superiores aos métodos 2D. Ajuda a reduzir taxas de retratamento e auxilia no diagnóstico de fraturas radiculares verticais, pontas de raízes retidas, radiolucência apical, patologia periapical, trauma dentoalveolar e reabsorção.\n\n### Implant Dentistry\nSimplifica a reorientação nos três planos de referência, permitindo alinhamento adequado de implantes. Benefícios incluem medições na proporção 1:1 sem sobreposição, avaliação da qualidade/quantidade óssea, eliminação de surpresas cirúrgicas, criação de guias cirúrgicos precisos e melhoria na aceitação de casos.\n\n### Prosthodontics\nMelhora o planejamento de tratamentos, permitindo simulação precisa e exportação de exames DICOM para softwares CAD/CAM de terceiros. Integra-se com softwares de planejamento cirúrgico e facilita casos complexos de implantes (ex: all-on-4).\n\n### Periodontics\nCria renderizações 3D móveis a partir de centenas de fatias, com menor tempo de escaneamento e menor exposição à radiação. Otimiza a capacidade diagnóstica para envolvimento de furcação, avaliação de tecidos moles, espaço do ligamento periodontal, defeitos ósseos alveolares, terapia regenerativa e enxertos ósseos.\n\n### What is the Industry Saying?\nDepoimento do Dr. Bernee Dunson destacando a qualidade de imagem, capacidade do software e suporte ao cliente da PreXion.\n\n## Experience True Clarity & Precision\nChamada final para agendamento de uma demonstração dos equipamentos.",- REQUEST A DEMO\n- Schedule a demo today.\n- Contact Us: 855-PREXION (tel:855PREXION)\n- Client Support: (650) 212-0314 (tel:6502120314),- https://www.prexion.com/request-a-demo/\n- https://www.prexion.com/prexion-3d-evolve/\n- https://www.prexion.com/prexion-excelsior-endo/\n- https://www.prexion.com/roi-calculator/\n- https://www.prexion.com/remote-support/\n- https://www.prexion.com/product-specialists/\n- https://www.prexion.com/privacy-policy/\n- https://www.prexion.com/accessibility-statement/,- https://www.linkedin.com/company/prexion-cbct/\n- https://www.facebook.com/PreXionUSA/\n- https://www.instagram.com/prexionusa/\n- https://www.youtube.com/prexioncbct,Nenhum,Nenhum,create,/applications-by-specialty/,Conteúdo altamente relevante e detalhado sobre as aplicações dos equipamentos em diferentes especialidades odontológicas. O texto está bem estruturado e não apresenta sinais de obsolescência. Recomenda-se criar uma página dedicada no novo site mantendo a mesma estrutura de informações. O rodapé aparece duplicado na extração devido à estrutura do template.,
https://www.prexion.com/apply-job/,https://www.prexion.com/apply-job/,200,Apply for this Job,landing-page,medium,"# Apply for this Job Now\nFill out the form below to be contacted about this job opening.\n\n## Apply Job\nFormulário de candidatura solicitando Job Title, Name, Email, Phone, Resume (Max. file size: 512 MB) e CAPTCHA.\n\n### What is the Industry Saying?\nTestimonial de DR. RICHARD NEWHART, PERIODONTIST, elogiando as unidades CBCT da PreXion por suas especificações, baixa radiação, imagem de última geração e treinamento fornecido.","- Formulário de candidatura (Apply Job) com campos: Job Title, Name, Email, Phone, Resume, CAPTCHA\n- Contact Us: 855-PREXION\n- Client Support: (650) 212-0314",- https://www.prexion.com/author/3vdab/\n- https://www.prexion.com/prexion-3d-evolve/\n- https://www.prexion.com/prexion-excelsior-endo/\n- https://www.prexion.com/roi-calculator/\n- https://www.prexion.com/remote-support/\n- https://www.prexion.com/product-specialists/\n- https://www.prexion.com/privacy-policy/\n- https://www.prexion.com/accessibility-statement/\n- https://www.prexion.com/,- https://www.linkedin.com/company/prexion-cbct/\n- https://www.facebook.com/PreXionUSA/\n- https://www.instagram.com/prexionusa/\n- https://www.youtube.com/prexioncbct,Nenhum,Nenhum,consolidate,/careers/apply,"Página genérica de candidatura a vagas, contém um formulário básico. Recomenda-se consolidar em uma página central de carreiras ou usar um sistema ATS (Applicant Tracking System) dedicado. O rodapé parece estar duplicado no conteúdo extraído.",
https://www.prexion.com/careers-at-prexion/,https://www.prexion.com/careers-at-prexion/,200,Careers at PreXion,institutional,high,"# CAREERS AT PREXION\n\n## Why Work for PreXion?\nPreXion is experiencing market share growth in the U.S. and is looking for passionate, qualified people to join their team. Mentions a \""prexion cbct history timeline\"" (likely an image or graphic).\n\n## Open Positions\n\n### Job Description: Territory Sales Manager – (USA)\n- **Position Title:** Territory Sales Manager\n- **Department:** Sales\n- **Location:** United States (Field-Based)\n- **Employment Type:** Full-Time\n- **Reports To:** Director of Sales / VP of Sales\n\n#### Position Overview\nResponsible for driving new business, managing strategic accounts, conducting product demonstrations, and supporting clinicians. Requires travel and strong consultative selling skills in a competitive market.\n\n#### Key Responsibilities\n- **Sales & Business Development:** Exceed sales targets, develop strategies, close opportunities with dental professionals, maintain active pipeline, execute product demos.\n- **Customer Engagement & Relationship Management:** Build relationships with dental professionals, engage with KOLs and distributors, provide pre/post-sale support, attend trade shows.\n- **Product Expertise & Training:** Expert knowledge of Dental Imaging Products (hardware, software, workflows), educate customers, collaborate with teams during installation.\n- **Market Intelligence:** Monitor competitors, provide feedback to leadership, contribute to sales tools and marketing strategies.\n\n#### Required Qualifications\n- Minimum 3–5 years experience in dental equipment, imaging systems, or medical devices.\n- Proven success in dental digital imaging business.\n- Understanding of dental practice workflows.\n- Ability to close complex sales cycles.\n- Excellent communication and negotiation skills.\n- Proficiency with CRM platforms.\n- Valid driver’s license and 50–70% travel willingness.\n\n#### Key Competencies\n- Existing network across DSOs and specialist practices.\n- Experience in clinical demos/training.\n- Experience with distributors/dealers.\n- Background in radiology or 3D imaging preferred.\n- Consultative selling, technical aptitude, high ownership, strategic management, problem-solving, and customer-centric mindset.\n\n## Explore Open Positions\nEncourages users to apply today and view open positions on an external portal.","- [Learn More About Us](https://www.prexion.com/why-prexion/)\n- [APPLY NOW](https://www.prexion.com/apply-job/)\n- [VIEW OPEN POSITIONS](https://careers.jobscore.com/careers/prexioninc)\n- Contact Us: [855-PREXION](tel:855PREXION)\n- Client Support: [(650) 212-0314](tel:6502120314)\n- Address: 2077 Gateway Place, Suite 120, San Jose, CA 95110",- https://www.prexion.com/why-prexion/\n- https://www.prexion.com/apply-job/\n- https://www.prexion.com/prexion-3d-evolve/\n- https://www.prexion.com/prexion-excelsior-endo/\n- https://www.prexion.com/roi-calculator/\n- https://www.prexion.com/remote-support/\n- https://www.prexion.com/product-specialists/\n- https://www.prexion.com/privacy-policy/\n- https://www.prexion.com/accessibility-statement/,- https://careers.jobscore.com/careers/prexioninc\n- https://www.linkedin.com/company/prexion-cbct/\n- https://www.facebook.com/PreXionUSA/\n- https://www.instagram.com/prexionusa/\n- https://www.youtube.com/prexioncbct,Nenhum,- prexion cbct history timeline (N/A)\n- PreXion Logo (https://www.prexion.com/),create,/careers/,"Página de carreiras com descrição de vaga detalhada (Territory Sales Manager). Há duplicação do rodapé com links e contatos no final da página. A página lista uma vaga específica, o que pode requerer atualizações frequentes se migrada estaticamente; recomenda-se integração com plataforma de vagas ou página dinâmica no novo site. O link para \""VIEW OPEN POSITIONS\"" leva para um portal externo (jobscore.com).",
https://www.prexion.com/catapult/,https://www.prexion.com/catapult/,200,Catapult (LP),landing-page,medium,"### Preferred 3D Imaging (CBCT) Partner\nCatapult GrowTM announces a partnership with PreXion, highlighting PreXion's top-quality 3D imaging, commitment to education, and excellent service. Includes a testimonial from Dr. Lou Graham praising PreXion's advanced research.\n\n### PreXion’s Revolutionary Imaging\n#### PreXion3D Explorer\nDescribes the PreXion3D Explorer as offering precise 3D dental imaging, large image detail, low radiation, and reliable diagnostics. Provides links to software features, finding a specialist, and a product brochure.\n\n#### PreXion3D Excelsior\nDescribes the PreXion3D Excelsior CBCT Scanner as the evolution of their flagship product, designed for high diagnostic clarity. Uses include implant placement, bone quality studies, pathology, periodontics, and endodontics. Provides links to software features, finding a specialist, and a product brochure.\n\n### Related Courses\nLists related educational courses:\n- \""The Flaws in Financing\"" by Dr. Sam Shamardi (August 15, 2023, Free)\n- \""3D CBCT\"" by Multiple Speakers (Free)\n- \""Dental Sleep Medicine and General Dentistry\"" by Eugene Santucci, DDS (Free)\n\n### What Customers are Saying\nFeatures testimonials from:\n- Dr. Jeff Horowitz (versatility and precision)\n- Dr. Bernee Dunson (image quality, software, and support for implant practices)\n- Dr. Robert Walinchus (diagnostic and treatment confidence)\n\n### Rebate Exclusively for Catapult Grow Members\nDetails a special offer for Catapult Grow members: up to $3,000 Catapult Education credit or a $2,250 cash rebate on PreXion unit purchases, with tiered rebate amounts based on purchase value.\n\n### CBCT Interpretation Report Offer Exclusively for Catapult Grow Members\nDetails an offer for 3 free case interpretations by Radiodontics (valid for 60 days) and an option to purchase 7 additional interpretations at a discounted bundle price of $250 (valid for 180 days).\n\n### Increase Clarity and Precision in Your Practice!\nEncourages connecting with a representative for a demonstration of the 3D Viewer Software, understanding customer care, and insights into PreXion's technology and pricing. Includes a link to an ROI calculator and a testimonial from Dr. Sam Halabo praising the user-friendliness and image quality of the PreXion CBCT.","- \""Find a PreXion3D Explorer Product Specialist Near You\"" (https://www.prexion.com/product-specialists/)\n- \""Download the Explorer PRO Product Brochure\"" (https://www.prexion.com/wp-content/uploads/2023/09/PreXion-ExplorerPRO-ProductBrochure-2023.pdf)\n- \""Find a PreXion3D Excelsior Product Specialist Near You\"" (https://www.prexion.com/product-specialists/)\n- \""Download the Excelsior Product Brochure\"" (https://www.prexion.com/wp-content/uploads/2023/09/PreXion-Excelsior-ProductBrochure-2023.pdf)\n- \""ENROLL NOW\"" (The Flaws in Financing) (https://www.catapulteducation.com/course/financing-flaws)\n- \""ENROLL NOW\"" (3D CBCT) (https://www.catapulteducation.com/course/cbct-technology)\n- \""ENROLL NOW\"" (Dental Sleep Medicine and General Dentistry) (https://www.catapulteducation.com/course/sleep-medicine)\n- \""ACCESS OUR ROI CALCULATOR\"" (https://www.prexion.com/roi-calculator/)\n- Contact Us: 855-PREXION\n- Client Support: (650) 212-0314\n- Address: 2077 Gateway Place, Suite 120, San Jose, CA 95110",- https://www.prexion.com/prexion-3d-explorer-pro/\n- https://www.prexion.com/product-specialists/\n- https://www.prexion.com/prexion-3d-excelsior-cbct-scanner/\n- https://www.prexion.com/roi-calculator/\n- https://www.prexion.com/prexion-3d-evolve/\n- https://www.prexion.com/prexion-excelsior-endo/\n- https://www.prexion.com/remote-support/\n- https://www.prexion.com/privacy-policy/\n- https://www.prexion.com/accessibility-statement/,- https://www.catapulteducation.com/course/financing-flaws\n- https://www.catapulteducation.com/course/cbct-technology\n- https://www.catapulteducation.com/course/sleep-medicine\n- https://www.linkedin.com/company/prexion-cbct/\n- https://www.facebook.com/PreXionUSA/\n- https://www.instagram.com/prexionusa/\n- https://www.youtube.com/prexioncbct,- https://www.prexion.com/wp-content/uploads/2023/09/PreXion-ExplorerPRO-ProductBrochure-2023.pdf\n- https://www.prexion.com/wp-content/uploads/2023/09/PreXion-Excelsior-ProductBrochure-2023.pdf,- Catapult Logo (N/A)\n- Top Quality 3D Imaging (N/A)\n- Dr. Lou Graham (N/A)\n- PreXion3D Explorer (N/A)\n- PreXion3D Excelsior (N/A)\n- Dr. Jeff Horowitz (N/A)\n- Dr. Bernee Dunson (N/A)\n- Dr. Robert Walinchus (N/A)\n- Radiodontics Logo (N/A)\n- Dr. Sam Halabo (N/A)\n- PreXion Logo (N/A),redirect,/partners/catapult-grow,"A página é uma landing page de parceria com a Catapult Grow, oferecendo descontos exclusivos para membros na compra de equipamentos CBCT da PreXion. Há duplicação de texto nos depoimentos do Dr. Lou Graham e Dr. Sam Halabo, além da duplicação dos blocos de ofertas de descontos (Rebate Exclusively for Catapult Grow Members) e relatórios de interpretação (CBCT Interpretation Report Offer Exclusively for Catapult Grow Members). O conteúdo foca em campanhas específicas, sendo recomendado redirecionar para uma página consolidada de parcerias ou ofertas no novo site.",
https://www.prexion.com/category/blog/,https://www.prexion.com/category/blog/,200,Blog,article,medium,"# Blog\nLista de 5 itens recentes do blog, focados principalmente em eventos odontológicos de 2026:\n- The Art and Science of Dentistry 2026 – Anaheim – CA\n- AAE Annual Meteting 2026 – Salt Lake City – UT\n- Chicago Mindwinter\n- AEEDC Dubai 2026\n- Saudi International Dental Conference (SIDC)","- Contact Us: [855-PREXION](tel:855PREXION)\n- Client Support: [(650) 212-0314](tel:6502120314)\n- Endereço: 2077 Gateway Place, Suite 120, San Jose, CA 95110",- https://www.prexion.com/the-art-and-science-of-dentistry-2026-anaheim-ca/\n- https://www.prexion.com/aae-annual-meteting-2026-salt-lake-city-ut/\n- https://www.prexion.com/chicago-mindwinter-dental/\n- https://www.prexion.com/aeedc-dubai-event/\n- https://www.prexion.com/saudi-international-dental-conference/\n- https://www.prexion.com/prexion-3d-evolve/\n- https://www.prexion.com/prexion-excelsior-endo/\n- https://www.prexion.com/roi-calculator/\n- https://www.prexion.com/remote-support/\n- https://www.prexion.com/product-specialists/\n- https://www.prexion.com/privacy-policy/\n- https://www.prexion.com/accessibility-statement/\n- https://www.prexion.com/,- https://www.linkedin.com/company/prexion-cbct/\n- https://www.facebook.com/PreXionUSA/\n- https://www.instagram.com/prexionusa/\n- https://www.youtube.com/prexioncbct,Nenhum,Nenhum,redirect,/blog,"A página atua como uma listagem de artigos/eventos do blog, mas os links atuais são focados em eventos de 2026. O rodapé está duplicado no código. É recomendado redirecionar para uma nova página centralizadora de blog ou eventos.",
